dimension,n_points,dataset,method,runtime_ms,memory_bytes,status
50,2000,gaussian,Extents,119.3525230000887,341600,ok
50,2000,gaussian,MVEE,5639.001704999828,680000,ok
50,2000,gaussian,DeepHull-original,192851.80664600013,111200,ok
50,2000,gaussian,DeepHull-convex,211878.1664930002,116000,ok
50,2000,uniform_cube,Extents,204.89972900031717,445200,ok
50,2000,uniform_cube,MVEE,11839.48179700019,800000,ok
50,2000,uniform_cube,DeepHull-original,218753.99341600042,113600,ok
50,2000,uniform_cube,DeepHull-convex,202153.35900600074,84800,ok
50,5000,gaussian,Extents,299.36168099993665,470000,ok
50,5000,gaussian,MVEE,54230.801267999595,1364000,ok
50,5000,gaussian,DeepHull-original,578946.3006480001,20400,ok
50,5000,gaussian,DeepHull-convex,523612.1222900001,20400,ok
50,5000,uniform_cube,Extents,322.7241000004142,615600,ok
50,5000,uniform_cube,MVEE,54507.83109199983,1994400,ok
50,5000,uniform_cube,DeepHull-original,506750.11846599955,20400,ok
50,5000,uniform_cube,DeepHull-convex,541243.2738579991,20400,ok
50,10000,gaussian,Extents,555.6064110005536,564400,ok
50,10000,gaussian,MVEE,181114.78986400107,2140400,ok
50,10000,gaussian,DeepHull-original,1126928.6404489994,20400,ok
50,10000,gaussian,DeepHull-convex,1064281.1549750003,20400,ok
50,10000,uniform_cube,Extents,526.8330059989239,682400,ok
50,10000,uniform_cube,MVEE,188857.1119900007,3989600,ok
50,10000,uniform_cube,DeepHull-original,1118323.2539670006,20400,ok
50,10000,uniform_cube,DeepHull-convex,1289668.343610001,20400,ok
100,2000,gaussian,Extents,189.09976499890035,833600,ok
100,2000,gaussian,MVEE,10556.944615000248,1562400,ok
100,2000,gaussian,DeepHull-original,240090.81583499938,392800,ok
100,2000,gaussian,DeepHull-convex,258168.73929199937,1003200,ok
100,2000,uniform_cube,Extents,179.08654100028798,958400,ok
100,2000,uniform_cube,MVEE,12921.35981499996,1600000,ok
100,2000,uniform_cube,DeepHull-original,230054.2749239994,406400,ok
100,2000,uniform_cube,DeepHull-convex,248800.9246780002,987200,ok
100,5000,gaussian,Extents,381.67692400020314,1116800,ok
100,5000,gaussian,MVEE,53157.08472900042,2286400,ok
100,5000,gaussian,DeepHull-original,673965.8510560002,141600,ok
100,5000,gaussian,DeepHull-convex,573292.5600240014,80800,ok
100,5000,uniform_cube,Extents,324.7461930004647,1288800,ok
100,5000,uniform_cube,MVEE,55171.944690999226,3950400,ok
100,5000,uniform_cube,DeepHull-original,666759.972044998,140800,ok
100,5000,uniform_cube,DeepHull-convex,526922.4051899982,80800,ok
100,10000,gaussian,Extents,541.6100759975961,1304800,ok
100,10000,gaussian,MVEE,180956.36839899817,6297600,ok
100,10000,gaussian,DeepHull-original,1339042.9889020016,80800,ok
100,10000,gaussian,DeepHull-convex,1125733.6264820006,80800,ok
100,10000,uniform_cube,Extents,572.7627479973307,1410400,ok
100,10000,uniform_cube,MVEE,194113.88447999707,8000000,ok
100,10000,uniform_cube,DeepHull-original,1233379.9749270002,80800,ok
100,10000,uniform_cube,DeepHull-convex,1166759.3174779976,80800,ok
200,2000,gaussian,Extents,233.43780700088246,1835200,ok
200,2000,gaussian,MVEE,23950.540491001448,2137600,ok
200,2000,gaussian,DeepHull-original,216674.60507400028,1091200,ok
200,2000,gaussian,DeepHull-convex,217695.26358599978,2155200,ok
200,2000,uniform_cube,Extents,296.2004920009349,1982400,ok
200,2000,uniform_cube,MVEE,24430.550355002197,2435200,ok
200,2000,uniform_cube,DeepHull-original,208201.7017420003,1073600,ok
200,2000,uniform_cube,DeepHull-convex,218528.27769500072,2198400,ok
200,5000,gaussian,Extents,392.89112799815484,2438400,ok
200,5000,gaussian,MVEE,72054.8091519995,2912000,ok
200,5000,gaussian,DeepHull-original,597520.1205550001,976000,ok
200,5000,gaussian,DeepHull-convex,548157.1492180009,321600,ok
200,5000,uniform_cube,Extents,360.45577400000184,2577600,ok
200,5000,uniform_cube,MVEE,79232.9219380008,7736000,ok
200,5000,uniform_cube,DeepHull-original,590003.8207990001,1004800,ok
200,5000,uniform_cube,DeepHull-convex,541217.85044,321600,ok
200,10000,gaussian,Extents,664.7825860018202,2772800,ok
200,10000,gaussian,MVEE,235220.10126100213,5404800,ok
200,10000,gaussian,DeepHull-original,1185228.1723039995,321600,ok
200,10000,gaussian,DeepHull-convex,1125680.8763609987,321600,ok
200,10000,uniform_cube,Extents,624.6602669998538,2891200,ok
200,10000,uniform_cube,MVEE,228465.14372299862,5347200,ok
200,10000,uniform_cube,DeepHull-original,1193297.0730470007,321600,ok
200,10000,uniform_cube,DeepHull-convex,1170484.8957050017,321600,ok
500,2000,gaussian,Extents,357.8242770017823,4972000,ok
500,2000,gaussian,MVEE,87122.9274690013,1868000,ok
500,2000,gaussian,DeepHull-original,187584.87320600034,3080000,ok
500,2000,gaussian,DeepHull-convex,196652.08521500244,5340000,ok
500,2000,uniform_cube,Extents,247.6459719982813,5056000,ok
500,2000,uniform_cube,MVEE,78983.58695500065,344000,ok
500,2000,uniform_cube,DeepHull-original,209157.49225000036,3092000,ok
500,2000,uniform_cube,DeepHull-convex,264680.0721239997,5256000,ok
500,5000,gaussian,Extents,731.1829870013753,6444000,ok
500,5000,gaussian,MVEE,213653.73727899714,384000,ok
500,5000,gaussian,DeepHull-original,513015.7674279981,5420000,ok
500,5000,gaussian,DeepHull-convex,514178.62138000055,2004000,ok
500,5000,uniform_cube,Extents,564.7270039989962,6636000,ok
500,5000,uniform_cube,MVEE,203987.08869899565,17560000,ok
500,5000,uniform_cube,DeepHull-original,520293.57589999563,5384000,ok
500,5000,uniform_cube,DeepHull-convex,521459.02236999973,2004000,ok
500,10000,gaussian,Extents,1029.4388769980287,7172000,ok
500,10000,gaussian,MVEE,525866.7428539994,324000,ok
500,10000,gaussian,DeepHull-original,1216236.1887549995,2004000,ok
500,10000,gaussian,DeepHull-convex,1124235.1648139956,2004000,ok
500,10000,uniform_cube,Extents,1155.5595610043383,7400000,ok
500,10000,uniform_cube,MVEE,533948.176949998,8104000,ok
500,10000,uniform_cube,DeepHull-original,1035191.8455320047,2004000,ok
500,10000,uniform_cube,DeepHull-convex,1094898.5668250024,2004000,ok
